"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value","Flag and Footnotes"
"2012M10","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","40 725","d"
"2012M10","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","33 745","d"
"2012M11","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","34 465","d"
"2012M11","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","29 515","d"
"2012M12","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","27 545","d"
"2012M12","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","23 685","d"
"2013M01","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","30 020",""
"2013M01","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","25 430","d"
"2013M02","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","27 220",""
"2013M02","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","22 940","d"
"2013M03","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","29 440",""
"2013M03","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","25 150","d"
"2013M04","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","33 280",""
"2013M04","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","28 485","d"
"2013M05","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","34 265",""
"2013M05","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","29 530","d"
"2013M06","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","36 555",""
"2013M06","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","31 265","d"
"2013M07","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","39 110",""
"2013M07","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","33 085","d"
"2013M08","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","36 505",""
"2013M08","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","31 175","d"
"2013M09","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","42 430",""
"2013M09","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","36 370","d"
"2013M10","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","46 875",""
"2013M10","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","40 210","d"
"2013M11","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","40 645",""
"2013M11","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","34 900","d"
"2013M12","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","34 745",""
"2013M12","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","29 285","d"
"2014M01","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","40 825",""
"2014M01","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","35 775",""
"2014M02","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","35 345",""
"2014M02","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","31 020",""
"2014M03","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","37 445",""
"2014M03","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","32 925",""
"2014M04","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","39 370",""
"2014M04","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","34 820",""
"2014M05","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","42 905",""
"2014M05","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","38 885",""
"2014M06","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","46 475",""
"2014M06","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","41 420",""
"2014M07","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","58 615",""
"2014M07","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","51 480",""
"2014M08","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","55 220",""
"2014M08","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","50 180",""
"2014M09","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","67 525",""
"2014M09","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","61 755",""
"2014M10","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","69 195",""
"2014M10","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","62 945",""
"2014M11","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","64 860",""
"2014M11","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","58 690",""
"2014M12","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","69 180",""
"2014M12","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","62 780",""
"2015M01","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","67 900",""
"2015M01","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","61 600",""
"2015M02","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","72 675",""
"2015M02","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","66 270",""
"2015M03","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","68 600",""
"2015M03","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","62 100",""
"2015M04","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","64 840",""
"2015M04","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","59 180",""
"2015M05","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","73 040",""
"2015M05","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","68 180",""
"2015M06","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","95 945",""
"2015M06","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","90 255",""
"2015M07","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","122 575",""
"2015M07","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","116 345",""
"2015M08","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","147 095",""
"2015M08","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","141 370",""
"2015M09","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","170 825",""
"2015M09","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","165 410",""
"2015M10","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","171 895",""
"2015M10","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","167 190",""
"2015M11","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","158 665",""
"2015M11","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","154 695",""
"2015M12","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","108 770",""
"2015M12","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","104 440",""
"2016M01","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","101 420",""
